rank,scaler,encoder,model,params,macro_f1,macro_f1_std,macro_recall,accuracy,fit_seconds
86,standard,onehot,LogisticRegression,C=1.0,0.6547210716323854,0.005416444119502657,0.6996187916389296,0.6624998488092214,0.33744001388549805
87,robust,target,LogisticRegression,C=0.1,0.6545833073302698,0.007803882552396105,0.7012007962694712,0.6621240049419929,5.496196269989014
88,robust,onehot,LogisticRegression,C=1.0,0.6545626535524667,0.005836752451153052,0.699557507153311,0.6622497862935925,8.879580020904541
89,standard,onehot,LogisticRegression,C=0.1,0.6543877778448471,0.005915679568923241,0.6999580640536315,0.6618746925201492,0.38605332374572754
90,minmax,onehot,LogisticRegression,C=1.0,0.6543183611160632,0.006228192463988998,0.7001320833476857,0.6617495675006114,0.3592653274536133
91,standard,target,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6540667128743451,0.007734033919858779,0.7000521263089822,0.6605013176803762,0.344012975692749
92,robust,target,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6540667128743451,0.007734033919858779,0.7000521263089822,0.6605013176803762,0.2884354591369629
93,standard,target,LogisticRegression,C=0.1,0.6539818438255379,0.007489843881251214,0.7004428768279,0.6616240674341813,0.3814518451690674
94,minmax,onehot,LogisticRegression,C=5.0,0.6537147075172398,0.006490172564857983,0.6987858508297652,0.661374708131476,0.32920145988464355
95,minmax,target,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6530059476804282,0.009515523352521222,0.6955862307546642,0.6603766614694543,0.2971510887145996
96,robust,target,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6517174182549441,0.00915224645310799,0.6960216475197457,0.6587515364030359,0.3029782772064209
97,standard,target,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6517174182549441,0.00915224645310799,0.6960216475197457,0.6587515364030359,0.3317697048187256
98,minmax,onehot,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6501849743695317,0.010985732260117155,0.6912750070544581,0.6592485672974299,0.23182272911071777
99,minmax,onehot,DecisionTree,"max_depth=10, min_samples_leaf=1",0.6500811684550928,0.004294495617852369,0.678448353389825,0.6631243956470932,0.30028223991394043
100,minmax,ordinal,DecisionTree,"max_depth=10, min_samples_leaf=1",0.64973963890361,0.00450209430333608,0.6833053691879017,0.6606244268228663,0.23730063438415527
101,robust,onehot,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6488213832761817,0.01136144880591242,0.6900206774252252,0.6578735047466404,0.23442363739013672
102,standard,onehot,DecisionTree,"max_depth=10, min_samples_leaf=20",0.6488213832761817,0.01136144880591242,0.6900206774252252,0.6578735047466404,0.22695183753967285
103,standard,onehot,DecisionTree,"max_depth=10, min_samples_leaf=1",0.6487068272745002,0.005255588644349922,0.6776506951171809,0.661499364342398,0.24434947967529297
104,robust,onehot,DecisionTree,"max_depth=10, min_samples_leaf=1",0.6487068272745002,0.005255588644349922,0.6776506951171809,0.661499364342398,0.248915433883667
105,robust,ordinal,DecisionTree,"max_depth=10, min_samples_leaf=1",0.6485524276817346,0.0053177795611674145,0.6814854691646923,0.659499379906844,0.2657167911529541
106,standard,ordinal,DecisionTree,"max_depth=10, min_samples_leaf=1",0.6485466729954922,0.005589572364701682,0.6813890866899359,0.6594993330259824,0.2760157585144043
107,minmax,target,LogisticRegression,C=0.1,0.6476827650971856,0.0072536660991141064,0.6954968456968181,0.6547493172505724,0.3822009563446045
108,minmax,onehot,LogisticRegression,C=0.1,0.6474984155887469,0.005706983026906949,0.6952905859618729,0.6543747391666064,0.29791855812072754
109,robust,target,DecisionTree,"max_depth=10, min_samples_leaf=1",0.645474272247685,0.01560542614788567,0.6729051613361244,0.6592512863874012,0.31511878967285156
110,standard,target,DecisionTree,"max_depth=10, min_samples_leaf=1",0.6453878518522899,0.015518222744479638,0.672889781652198,0.6591263020104482,0.2974708080291748
111,minmax,target,DecisionTree,"max_depth=10, min_samples_leaf=1",0.6447110508652122,0.015750528419914665,0.6710920701025648,0.6587512551178665,0.2949638366699219
112,minmax,onehot,DecisionTree,"max_depth=25, min_samples_leaf=20",0.6403726557555488,0.011344326280901191,0.685904582596835,0.6483748796216676,0.24923348426818848
